,Year,Month,Activity,Type,Fatal
121,1855,Mar,Fell overboard from the Sobella,Unprovoked,1
122,1855,Nov,Swimming,Unprovoked,1
123,1855,Sep,ship William Penn grounded & broke apart,Unprovoked,0
124,1856,Jun,Swimming,Unprovoked,1
125,1856,Nov,Swimming,Unprovoked,1
126,1856,Nov,Swimming,Unprovoked,1
127,1857,May,Swimming,Unprovoked,1
128,1858,Apr,Bathing,Unprovoked,0
129,1858,Jan,Jumped overboard while intoxicated,Unprovoked,1
130,1858,Jan,Swimming,Unprovoked,1
131,1858,Mar,Bathing,Unprovoked,1
132,1859,Mar,Fell overboard,Unprovoked,1
133,1860,Apr,Bathing,Unprovoked,1
134,1860,Apr,Swimming,Unprovoked,0
135,1860,Aug,Swimming,Unprovoked,0
136,1860,Dec,Bathing,Unprovoked,0
137,1860,Mar,43-ton schooner Irene capsized & sank,Unprovoked,1
138,1860,Mar,"In boat being towed by ship, Karnak",Unprovoked,1
139,1860,Oct,Gloucester fishing schooner run down,Unprovoked,1
140,1861,Feb,Swimming,Unprovoked,1
141,1861,Jan,Bathing,Unprovoked,0
142,1861,Mar,Bathing,Unprovoked,0
143,1861,Nov,Bathing alongside the American ship Thomas W. Sears,Unprovoked,1
144,1861,Sep,Deserting the bark Nazarene,Unprovoked,0
145,1862,Aug,Bathing,Unprovoked,0
146,1862,Dec,Swimming,Unprovoked,0
147,1862,Dec,Trying to catch a wounded bird,Unprovoked,1
148,1862,Jul,Swimming,Unprovoked,1
149,1862,Jul,Swimming alongside the SS Kearsarge,Unprovoked,1
150,1862,May,Bathing,Unprovoked,0
151,1862,Unknown,Boat of a Hawaiian brig was stove in by  whale,Unprovoked,1
152,1863,Apr,Launching a boat,Unprovoked,1
153,1863,Dec,"Bathing near whaling ship (bark A. R. Tucker of New Bedford, Massachusetts)",Unprovoked,1
154,1863,Jan,Bathing,Unprovoked,1
155,1863,Jul,Fishing,Provoked,0
156,1863,Mar,Floating on back,Unprovoked,0
157,1863,Reported,Swimming,Unprovoked,1
158,1863,Sep,Bathing,Unprovoked,0
159,1863,Unknown,Fell overboard,Unprovoked,1
160,1864,Apr,Fell overboard,Unprovoked,1
161,1864,Aug,Fell overboard,Unprovoked,1
162,1864,Aug,Swimming,Unprovoked,0
163,1864,Jan,Boat swamped,Unprovoked,1
164,1864,Jan,Coming ashore on a hawser,Unprovoked,1
165,1864,Jan,Standing / Bathing,Unprovoked,0
166,1864,Jul,Bathing,Unprovoked,1
167,1864,May,Fell overboard,Unprovoked,1
168,1864,Oct,Wreck of the Aphrodite,Unprovoked,1
169,1864,Sep,Dragging a shark,Provoked,0
170,1864,Unknown,Reaching for life preserver,Unprovoked,1
171,1865,Jul,Bathing,Unprovoked,1
172,1865,Mar,Fishing,Unprovoked,1
173,1865,Sep,Swimming alongside the schooner Catherine Wilcox,Unprovoked,0
174,1865,Unknown,Boarding a ship,Unprovoked,0
175,1866,Jul,Bathing,Unprovoked,1
176,1867,Aug,Swimming,Unprovoked,1
177,1867,Aug,boat from the Austrian ship Elizabeth,Unprovoked,1
178,1867,Jun,boat from ship Josephine capsized in squall,Unprovoked,1
179,1867,Unknown,Painting a ship,Unprovoked,1
180,1868,Jan,A junk foundered,Unprovoked,1
181,1868,Jan,Fishing,Unprovoked,0
182,1868,May,Standing,Unprovoked,1
183,1868,around,Swimming,Unprovoked,1
184,1869,Apr,Net fishing,Unprovoked,0
185,1870,Jan,Bathing,Unprovoked,0
186,1870,Jul,Bathing,Unprovoked,0
187,1870,Jun,Bathing,Unprovoked,0
188,1870,Jun,Bathing / standing,Unprovoked,0
189,1870,May,Bathing,Unprovoked,0
190,1870,May,Bathing,Unprovoked,0
191,1870,May,Fishing,Unprovoked,0
192,1870,mid,Sitting on gunwale of boat,Unprovoked,1
193,1871,Aug,Fishing,Unprovoked,0
194,1871,Aug,Shark fishing,Provoked,0
195,1871,Mar,Bathing,Unprovoked,1
196,1871,May,Bathing,Unprovoked,0
197,1871,Unknown,Fishing,Unprovoked,0
198,1872,Apr,Canoeing,Unprovoked,0
199,1872,Circa,Adrift on a raft ,Unprovoked,0
200,1872,Feb,Wreck of the 150-ton brig Maria,Unprovoked,1
201,1872,Nov,Swimming to avoid capture,Unprovoked,1
202,1872,Oct,Burning of the S.S. Missouri,Unprovoked,1
203,1873,Dec,Swimming / escaping imprisonment ,Unprovoked,0
204,1873,Jan,Bathing,Unprovoked,0
205,1873,Jul,Fishing (Seining),Provoked,0
206,1874,,Bathing,Unprovoked,1
207,1874,,Bathing,Unprovoked,0
208,1874,Apr,Fishing,Unprovoked,0
209,1874,Jul,Bathing,Unprovoked,0
210,1874,Jul,Fishing,Unprovoked,0
211,1874,Jul,Fishing,Unprovoked,0
212,1874,Jun,Escaping from blackbirding vessel,Unprovoked,1
213,1874,Jun,Salvaging a shipwreck,Unprovoked,0
214,1874,June,Boat of the Resolution capsized in the breakers,Unprovoked,1
215,1874,Nov,Bathing,Unprovoked,0
216,1874,Nov,Fishing,Unprovoked,0
217,1874,Unknown,Fleet of canoes caught by a squall and charged by sharks.,Unprovoked,1
218,1875,Mar,Bathing,Unprovoked,1
219,1875,Nov,Fishing,Unprovoked,0
220,1876,Feb,Bathing,Unprovoked,1
221,1876,Jun,Bathing,Unprovoked,0
222,1876,May,Swimming,Unprovoked,1
223,1876,Oct,Fishing,Unprovoked,1
224,1876,Sep,Diving for sponges,Unprovoked,1
225,1876,Unknown,Collecting fish ,Unprovoked,0
226,1876,Unknown,Pearl diving,Unprovoked,0
227,1876,Unknown,Sponge diving,Unprovoked,1
228,1877,Apr,Bathing,Unprovoked,0
229,1877,Dec,Bathing,Unprovoked,0
230,1877,Dec,Washed overboard from the barque Mary Eady,Unprovoked,1
231,1877,Feb,Fishing ,Unprovoked,0
232,1877,Jan,Bathing,Unprovoked,1
233,1877,Jan,Swimming,Unprovoked,0
234,1877,Mar,Paddling,Unprovoked,0
235,1877,Sep,Fishing,Unprovoked,0
236,1878,Aug,Swimming,Unprovoked,1
237,1878,Aug,Swimming,Unprovoked,1
238,1878,Feb,Washed off raft,Unprovoked,1
239,1878,Feb,Wreck of the Union Steamship Company 982-ton iron steamer Kafir,Unprovoked,1
240,1878,Nov,Bathing,Unprovoked,0
241,1878,Oct,Jumped overboard after murdering 2 shipmates,Unprovoked,1
242,1878,Oct,Swimming,Unprovoked,1
243,1878,Sep,Boat with 5 men capsized while returning to the Amerique,Unprovoked,0
244,1878,Sep,Boat with 5 men capsized while returning to the Amerique,Unprovoked,1
245,1878,Sep,Fishing,Provoked,0
246,1878,Unknown,Bathing in 2 feet of water,Unprovoked,1
247,1879,Dec,Swimming,Unprovoked,1
248,1879,Jul,Bathing,Unprovoked,0
249,1879,Mar,Standing,Unprovoked,1
250,1879,Nov,Swimming,Unprovoked,0
251,1879,Sep,Fishing,Provoked,0
252,1879,Unknown,Floating with life buoy after pilot launch capsized,Unprovoked,1
253,1880,Aug,Swimming to retrieve a flannel,Unprovoked,1
254,1880,Jan,Bathing,Unprovoked,0
255,1880,Jan,Fishing,Unprovoked,0
256,1880,Jul,Sailing,Unprovoked,0
257,1880,May,Bathing,Unprovoked,1
258,1880,May,Bathing in river,Unprovoked,0
259,1880,May,Bathing in river,Unprovoked,1
260,1880,Nov,Swimming,Unprovoked,1
261,1880,Oct,Traveling by boat,Unprovoked,1
262,1881,,Fishing on a boat,Unprovoked,0
263,1881,Aug,"Floating, holding onto an oar after dory capsized",Unprovoked,1
264,1881,Aug,Swimming,Unprovoked,0
265,1881,Jul,Bathing,Unprovoked,0
266,1881,Jun,Fell overboard,Unprovoked,1
267,1881,Sep,Bathing,Unprovoked,1
268,1882,Apr,Fishing,Unprovoked,1
269,1882,Dec,Restraining a beached shark,Provoked,0
270,1882,Feb,Pearl diving,Unprovoked,1
271,1882,Jan,Bathing,Unprovoked,1
272,1882,Jan,Fell overboard from the Selim,Unprovoked,1
273,1882,May,Fell overboard,Unprovoked,0
274,1882,May,Pearl diving,Unprovoked,1
275,1882,Nov,Bathing,Unprovoked,0
276,1882,Nov,Bathing,Unprovoked,0
277,1882,Sep,Clinging to shipwrecked junk,Unprovoked,0
278,1882,Unknown,"During ""an exhibition"" he was tied in sack & thrown overboard ",Unprovoked,0
279,1883,Dec,Knocked overboard,Unprovoked,1
280,1883,Dec,Swimming,Unprovoked,1
281,1883,Feb,Diving,Unprovoked,0
282,1883,Feb,Diving,Unprovoked,1
283,1883,Jan,Bathing,Unprovoked,1
284,1883,Jul,Fishing for sharks,Provoked,0
285,1883,Oct,Fell overboard & rescuer,Unprovoked,1
286,1883,Oct,Jumped overboard ,Unprovoked,1
287,1883,Unknown,Fishing,Unprovoked,1
288,1883,of,Fell overboard,Unprovoked,1
289,1884,Apr,Fell overboard from the steamship Chala,Unprovoked,1
290,1884,Aug,Boating,Unprovoked,0
291,1884,Dec,yachting accident,Unprovoked,1
292,1884,Jan,Fell overboard,Unprovoked,1
293,1884,Jan,Swimming,Unprovoked,1
294,1885,Apr,Bathing,Unprovoked,0
295,1885,Apr,Swimming,Unprovoked,1
296,1885,Aug,Fell or jumped overboard from the liner Rhynland,Unprovoked,1
297,1885,Jul,Wreck of the schooner Pohoiki ,Unprovoked,0
298,1885,Jul,Wreck of the schooner Pohoiki ,Unprovoked,0
299,1885,Jul,Wreck of the schooner Pohoiki ,Unprovoked,1
300,1885,Mar,Fishing,Unprovoked,0
301,1885,Nov,Bathing,Unprovoked,0
302,1886,Apr,Oystering,Unprovoked,0
303,1886,Aug,Clamming,Unprovoked,0
304,1886,Aug,"Netting menhaden, sharks caught in net",Provoked,0
305,1886,Feb,Fishing,Unprovoked,0
306,1886,Jan,Diving alongsidethe steamship Ranelagh ,Unprovoked,0
307,1886,Jan,Diving off jetty,Unprovoked,0
308,1886,Jan,Swimming,Unprovoked,1
309,1886,Jun,Swimming after being washed overboard,Unprovoked,1
310,1886,May,Bathing,Unprovoked,1
311,1886,Unknown,Sailing,Unprovoked,0
312,1887,Dec,Fell oveboard from steamer Wanderer,Unprovoked,1
313,1887,Feb,Swimming,Unprovoked,1
314,1887,Jan,Swimming,Unprovoked,1
315,1887,Jan,The passenger ship Kapuna was run down the ore carrier Ada Melmore,Unprovoked,1
316,1887,Jul,"Sea disaster, wreck of the sloop Sara",Unprovoked,1
317,1887,Mar,Rowing a dinghy,Unprovoked,0
318,1887,Oct,"Crossing inlet in a boat, seen fighting sharks with his oar, sharks smashed boat",Unprovoked,1
319,1887,October,"Sea disaster, wreck of the Alfred Watts",Unprovoked,1
320,1887,Sep,Swimming,Unprovoked,0
321,1887,Unknown,British ship Macedon was thrown on her beam ends by a sudden squall,Unprovoked,0
322,1888,Aug,Sailing,Unprovoked,0
323,1888,Aug,The steamships Thingvalla and Geiser collided,Unprovoked,1
324,1888,Dec,Swimming,Unprovoked,0
325,1888,Dec,Swimming,Unprovoked,1
326,1888,Dec,Working on the bridge when he fell into the river,Unprovoked,1
327,1888,Feb,Crossing the river mouth,Unprovoked,1
328,1888,Feb,Floating on his back,Unprovoked,0
329,1888,Jan,Rowing,Unprovoked,0
330,1888,Jul,The Dwarka foundered,Unprovoked,1
331,1888,Jun,Fishing,Unprovoked,0
332,1888,Unknown,Sponge diving,Unprovoked,0
333,1889,Jan,Cleaning the side of a ship,Unprovoked,1
334,1889,Jan,Fishing,Provoked,0
335,1889,Jul,Fell into the water,Unprovoked,1
336,1889,Jul,Fishing,Unprovoked,0
337,1889,Jul,Swimming,Unprovoked,1
338,1889,Nov,Fell into the water,Unprovoked,1
339,1889,Oct,Swimming,Unprovoked,1
340,1890,,Bathing,Unprovoked,1
341,1890,26,Swimming,Unprovoked,0
342,1890,Aug,Bathing,Unprovoked,0
343,1890,Aug,Fishing for bluefish,Provoked,0
344,1890,Aug,Treading for clams,Unprovoked,0
345,1890,Dec,Thrown overboard,Unprovoked,0
346,1890,Feb,"Fishing boat with 4 men on board was rammed & capsized by  a shark, throwing all occupants into the water",Unprovoked,1
347,1890,Jun,Fell overboard,Unprovoked,0
348,1890,Jun,Swimming,Unprovoked,1
349,1890,Mar,Diving,Unprovoked,1
350,1890,Oct,Thrown overboard,Unprovoked,1
351,1890,Unknown,Swimming,Unprovoked,1
352,1891,Aug,Knocked overboard,Unprovoked,1
353,1891,Aug,Shooting sharks ,Provoked,0
354,1891,Dec,Swimming,Unprovoked,0
355,1891,Dec,"Swimming, after boat swamped",Unprovoked,0
356,1891,Jan,boat capsized,Unprovoked,1
357,1891,Mar,Fleeing across a river,Unprovoked,1
358,1891,Nov,Attempting to rescue shipmate,Unprovoked,0
359,1891,Sep,"Sea Disaster, canoes capsized in storm",Unprovoked,1
360,1892,Apr,Fell overboard from sponge vessel,Unprovoked,1
361,1892,Dec,Fell overboard,Unprovoked,1
362,1892,Jun,Riding a horse,Unprovoked,1
363,1892,Mar, a canoe was pursuing a schooner that had forcibily abducted 5 young girls,Unprovoked,1
364,1892,Mar,Fishing,Provoked,0
365,1892,May,Bathing,Unprovoked,0
366,1892,Nov,Fishing,Unprovoked,0
367,1892,Nov,Swimming,Unprovoked,0
368,1892,Unknown,Dress diving,Provoked,1
369,1893,Apr,"Boat capsized, swimming ashore",Unprovoked,0
370,1893,Apr,Swimming after falling overboard from the sealing ship Vesper,Unprovoked,0
371,1893,Jan,Bathing,Unprovoked,1
372,1893,Jan,Murdered,Unprovoked,1
373,1893,Jul,Abandoning burning steamship Don Juan,Unprovoked,1
374,1893,Jun,A barque wrecked,Unprovoked,1
375,1893,Jun,HMS Victoria collided with the HMS Camperdown,Unprovoked,1
376,1893,May,Canoe swamped,Unprovoked,1
377,1893,May,His balloon crashed in the harbor,Unprovoked,1
378,1893,Oct,Murder,Unprovoked,1
379,1894,Apr,Bathing,Unprovoked,1
380,1894,Apr,Bathing,Unprovoked,1
381,1894,Aug,Swimming / floating on his back,Unprovoked,0
382,1894,Dec,Fishing,Provoked,0
383,1894,Jul,Fishing,Unprovoked,1
384,1894,Jun,Bathing ,Unprovoked,0
385,1894,Jun,Fell from yardarm of British ship Rover,Unprovoked,1
386,1894,Jun,Swimming after harpooned whale capsized boat,Unprovoked,1
387,1894,Nov,Bathing,Unprovoked,0
388,1894,Oct,Swimming,Unprovoked,1
389,1894,Sep,Bathing,Unprovoked,0
