attack_date,Country,Area,Location,Activity,Gender,Fatal_Y/N
1960-01-01,CARIBBEAN SEA,Unknown,"Between Key West, Florida & Guantanamo Bay, Cuba",Aircraft crashed into sea,M,Unknown
1960-01-01,SRI LANKA,Eastern  Province,Pigeon Island,Spearfishing,M,N
1960-01-01,SRI LANKA,Eastern  Province,"Manayaweli Cove, Trincomalee",Collecting ornamental fish,M,N
1960-01-01,FIJI,Northwest of Viti Levu,"Covull Reef, near Lautoka",Spearfishing,M,N
1960-06-05,PHILIPPINES,Corregidor Island,Unknown,"Diving for shells, saw shark circling wife near the surface, intercepted shark & it pulled him beneath the water",M,Y
1960-01-01,PAPUA NEW GUINEA,West New Britain Province,"West Nakanai,  Talasea",Fishing,M,N
1960-01-01,MOZAMBIQUE,Gaza,Xai Xai,Swimming,F,Y
1960-01-01,SOUTH AFRICA,Eastern Cape Province,Kei River Mouth,Wading,F,N
1960-01-01,NICARAGUA ,Pacific coast,San Jan del Sur,Bathing,M,N
1960-02-24,SENEGAL,Casamance,Ziguinchor,Fishing,M,N
1960-01-01,PAPUA NEW GUINEA,Madang,Unknown,"Spear fishing, removing fish from spear",M,Y
1960-02-27,NEW ZEALAND,North Island,"Mangawhai, near Wellsford",Spearfishing,M,N
1960-02-27,USA,Hawaii,"Between Keawakapu & Makena, Maui",Spearfishing,M,Unknown
1960-05-29,PANAMA,San Blas Islands,Off Diable Island,"Spearfishing, free diving, possibly ascended into path of cruising shark",M,N
1960-05-16,USA,Florida,"Lignum Vitae Channel, Florida Keys, Monroe County",Unknown,Unknown,N
1960-05-01,PAPUA NEW GUINEA,Madang,Taludig,Unknown,Unknown,Y
1960-04-30,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,Treading water,M,N
1960-04-24,USA,California,"Tomales Point, Marin County",Skindiving for abalone (but at surface),M,N
1960-04-22,AUSTRALIA,Western Australia,Rottnest Island,"Fishing, hauling in a set line",M,N
1960-04-20,SOUTH AFRICA,Eastern Cape Province,Port Alfred,Fishing,M,N
1960-04-14,BERMUDA,"33N, 68W",Royal Canadian Navy CS2F-1 aircraft ditched in the sea 180 nautical miles WNW of Bermuda at 01h30,Floating on a raft,M,Unknown
1960-04-12,AUSTRALIA,New South Wales,"Horseshoe Bay, near Kempsey",Surfing,M,N
1960-05-19,USA,California,"Aptos, Santa Cruz County",Swimming ,F,N
1960-04-03,AUSTRALIA,Victoria,"Canadian Bay near Mount Eliza, 30 miles from Melbourne",Spearfishing,M,N
1960-04-10,AUSTRALIA,Western Australia,Off Rottnest Island,"Spearfishing, shot a sandtiger shark. Cord to spear tangled round his legs & a wave washed him onto a reef.",M,N
1960-03-31,USA,Florida,"Off Boca Raton Hotel & Club, Boca Raton, Palm Beach County",Treading water,M,N
1960-04-01,SOUTH AFRICA,Western Cape Province,Saldanha Bay,Fishing,Unknown,N
1960-03-28,GUAM,Unknown,Unknown,"Spearfishing, carrying fish on belt",M,N
1960-04-01,FIJI,Vanua Levu,Off the Bua coast,Fishing in shoulder-deep water,F,Y
1960-04-01,AUSTRALIA,South Australia,Hog Bay,Shark fishing,Unknown,N
1960-04-03,AUSTRALIA,New South Wales,Off Broughton Island near Port Stephens,"Speared a grouper, saw shark but it came for him instead of the fish so he fired spear into shark�s mouth. Then shark took grouper but unable to swallow because of the spear in its mouth.",M,N
1960-04-01,PHILIPPINES,Luzon Island,Bataan,"Fishing, hooked shark towed boat out to sea, storm swamped boat",M,Y
1960-02-28,AUSTRALIA,Tasmania,Ralph Bay,"Wading, fishing for flounder",M,N
1961-08-20,USA,California,"Portuguese Beach at mouth of Salmon Creek, Sonoma County",Swimming,M,N
1961-07-01,ITALY,Adriatic Sea,Riccione,Spearfishing,M,N
1961-08-16,USA,South Carolina,"Pawley�s Island, Georgetown County",Wading,M,N
1961-08-04,BERMUDA,Unknown,6 miles from shore,Spearfishing,M,N
1961-08-02,USA,Hawaii,"Pearl Harbor Channel, O'ahu","Net fishing, picking catch from the net",M,N
1961-08-01,PAPUA NEW GUINEA,Sandaun Province,Vanimo  on Musu side of Wutong anchorage,"Fishing, two large sharks passed. He speared one and it bit him",M,N
1961-07-29,USA,New York,Whitewood Point on Lloyd Neck in Oyster Bay,Spearfishing,M,N
1961-07-07,AUSTRALIA,Queensland,Cape Moreton,Shark fishing,Unknown,N
1961-06-06,USA,Florida,"Ponte Vedra Beach, St. Johns County",Spearfishing on Scuba,M,N
1961-06-24,USA,Florida,"500 yards from Fowey Rock Light, 9 miles east of Key Biscayne, Miami",Scuba diving & spearfishing ,M,Y
1961-06-18,USA,Florida,"Jensen Beach, Martin County",Standing,M,N
1961-06-02,NEW BRITAIN,East New Britain Province,Rabaul,Spearfishing,M,N
1961-06-01,PAPUA NEW GUINEA,"Admiralty Islands, Manus Province","Rossun, Manus","Fishing, speared shark upset canoe & man fell in water",M,N
1961-05-21,USA,California,"Tomales Point, Marin County",Free diving for abalone,M,N
1961-05-17,NEW BRITAIN,East New Britain Province,Kokopo,Collecting dynamited fish,M,N
1961-09-06,AUSTRALIA,Western Australia,Broome,Attaching a line at sea,Unknown,Unknown
1961-07-01,PANAMA,Unknown,"Jarque, just south of Pi?as Bay",Fishing (trolling)  from canoe,M,Y
1961-09-02,ITALY,Venice Province, Chioggia,Fishing,M,N
1961-10-27,PHILIPPINES,Western Luzon Island,Manila Bay,Gathering shells,M,N
1961-09-23,MID ATLANTIC OCEAN,165  miles from Bermuda,Unknown,"Survived US Naval aircraft crash, climbing onboard rescue vessel when he fell back into sea ",M,N
1961-12-28,AUSTRALIA,Queensland,"Lambert�s Beach, Mackay",Standing,M,N
1961-12-28,SOUTH AFRICA,KwaZulu-Natal,Umhlanga Rocks,Treading water,M,N
1961-12-27,AUSTRALIA,Western Australia,"North of main swimming area in Waterman's Bay Beach, Perth",Spearfishing,M,N
1961-12-19,AUSTRALIA,South Australia,Cowell,"Fishing, hauling in a 5-lb snapper",Unknown,N
1961-12-18,MOZAMBIQUE,Gaza,Praia Sepulveda,Bathing,M,N
1961-12-18,AUSTRALIA,Queensland,Noosa Heads,"Surfing, pushing board ashore",M,Y
1961-12-13,AUSTRALIA,Torres Strait,"Horn Island, near Thursday Island",Swimming with other crew near wharf,M,N
1961-09-07,PERSIAN GULF,25 km off the coast of Iran & 483km from mouth of Persian Gulf,Khark Island,"Free diving, surveying a pipeline & examing cathodes under jetty",M,N
1961-11-14,MEXICO,Guerrrero,Northwest of Acapulco,Unknown,Unknown,Unknown
1961-10-01,VANUATU,Shefa Province, Lelepa Island,Paddling outrigger canoe,M,N
1961-05-15,USA,Florida,"Laguna Beach, Bay County",Walking in chest-deep water,M,N
1961-10-01,USA,Florida,"Boca Raton, Palm Beach County",Unknown,M,Y
1961-09-26,USA,Florida,"Florida Keys, Monroe County",Unknown,M,N
1961-09-24,CROATIA,Primorje-Gorski Kotar County ,"Opatija, northwestern coast of Rijeka Bay",Swimming,M,Y
1961-09-24,TANZANIA,Unknown,Near entrance to Dar-es-Salaam Harbour,Fishing,M,N
1961-12-28,AUSTRALIA,Queensland,"Lambert's Beach, Mackay",Standing,F,Y
