attack_date,Country,Area,Location,Activity,Gender,Fatal_Y/N
1981-08-24,USA,Hawaii,"Keaukaha, Hilo, Hawai'i",Fishing,M,Unknown
1981-09-27,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,N
1981-07-07,USA,Florida,Carter Cay,Spearfishing,M,N
1981-10-01,USA,Florida,"Playalinda Beach, Brevard County",Surfing,M,N
1981-10-16,USA,Florida,"Cocoa Beach, Brevard County",Surfing,M,N
1981-10-17,USA,Florida,"Palm Beach, Palm Beach County",Surfing,M,Unknown
1981-10-19,USA,Florida,"Jupiter Island, Brevard County",Swimming,M,N
1981-11-09,USA,Hawaii,"La'au Point, Moloka'i",Diving to untangle a crab trap line from boat's propeller,M,N
1981-10-19,SOUTH AFRICA,Western Cape Province,Mossel Bay,Inspecting teeth of supposedly dead (hooked & shot) shark,M,N
1981-11-30,REUNION,Saint-Philippe,Vicendo,Spearfishing,M,N
1981-07-18,SOUTH AFRICA,Eastern Cape Province,Nahoon,Surfing,M,N
1981-12-13,AUSTRALIA,Queensland,Green Island,Unknown,Unknown,N
1981-12-19,USA,California,"South Moss Beach, Spanish Bay, Monterey Peninsula",Surfing,M,Y
1981-09-28,USA,Florida,"Cocoa Beach, Brevard County",Surfing,M,N
1981-12-13,USA,Hawaii,"Nimitz Beach, Barbers Point, O'ahu","Spearfishing, but swimming on surface",M,N
1981-05-23,SOUTH KOREA,Chungnam,Wae-yeon Island,Shell diving,F,Y
1981-06-15,ENGLAND,Unknown,Isle of Wight,Fishing,M,N
1981-01-01,GREECE,Pagasitikos Gulf,Unknown,"Free diving / spearfishing, ",M,N
1981-01-01,AUSTRALIA,New South Wales,Byron Bay,Surf-skiing,M,N
1981-01-01,SOUTH AFRICA,KwaZulu-Natal,Widenham,Swimming,M,Unknown
1981-01-30,USA,Florida,20 miles from Mayport,Commercial spearfishing,M,N
1981-02-01,BRAZIL,Rio de Janeiro,Cabo Frio,Spearfishing,Unknown,N
1981-02-02,USA,Florida,"Juno Beach, Palm Beach County",Surfing,M,N
1981-02-07,AUSTRALIA,Western Australia,"Parker's Point, Rottnest Island",Unknown,Unknown,Unknown
1981-02-16,AUSTRALIA,Western Australia,"Leighton Beach, north of Freemantle",Exercising his dog in the shallows,M,N
1981-07-01,SOUTH AFRICA,KwaZulu-Natal,Clansthal,Catching sardines,M,N
1981-03-01,BRAZIL,Rio de Janeiro,Cabo Frio,Diving,Unknown,Unknown
1981-03-04,CHILE,Coquimbo,"Bahia Totoralillo, 80  km north of Coquimbo",Free diving Spearfishing,M,N
1981-02-19,SOUTH AFRICA,KwaZulu-Natal,Umtentweni,Swimming,M,N
1981-03-25,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",Standing / Wading,M,N
1981-06-12,USA,Hawaii,"Honoli'i Pali, Hilo Bay ('Alae Point), Hawai'i",Unknown,M,Unknown
1981-03-24,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",Surfing,M,N
1981-05-20,SOUTH AFRICA,Eastern Cape Province,Nahoon,Surfing,M,N
1981-05-19,USA,Florida,"Sands Cut, Elliot Key",Free diving,M,N
1981-05-24,USA,Hawaii,"Ha'ena Beach Park, Kaua'i","Scuba diving, reportedly also spearfishing",M,Y
1981-05-10,SOUTH AFRICA,Eastern Cape Province,King�s Beach,Surfing,M,N
1981-05-07,NAMIBIA,Eronogo Region,Walvis Bay,Finning the shark that bit him,M,N
1981-03-08,BERMUDA,Unknown,Unknown,Foundering of the Israeli freighter Mezada,Unknown,N
1981-05-05,SOUTH AFRICA,Eastern Cape Province,Ntlonyane Bay,Surfing,M,N
1981-05-16,USA,Florida,"Jacksonville, Duval County",Diving,M,N
1982-08-01,TUNISIA,Unknown,"Skanes, near Monaster",Windsurfing,M,N
1982-07-01,USA,Florida,"Daytona Beach, Volusia County",Swimming,F,N
1982-07-11,USA,California,"Malibu, Los Angeles County",Swimming,M,Unknown
1982-07-19,USA,Florida,"Stuart Beach, Martin County ",Swimming,M,N
1982-07-24,USA,California,"Point Buchon, San Luis Obispo County",Paddle Boarding,M,N
1982-07-24,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Paddleskiing,M,N
1982-07-31,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,Boogie boarding,M,Unknown
1982-08-29,SOUTH AFRICA,Western Cape Province,Langebaan,Swimming,F,N
1982-07-01,NEW CALEDONIA,South Province,"Sarcelle, Isle of Pines",Unknown,Unknown,N
1982-08-29,JAPAN,Kumamoto Prefecture,Ariake Bay,Unknown,M,Y
1982-09-04,USA,Florida,"Hollywood Beach, Broward County",Unknown,M,Unknown
1982-09-19,USA,California,"Bear Harbor, Mendocino County",Free diving for abalone from Zodiac (submerged),M,N
1982-09-25,USA,California,"Monastery Beach, Carmel Bay, Monterey County",Diving,M,N
1982-09-27,USA,Florida,"Patrick Air Force Base, Brevard County",Surfing,M,N
1982-09-30,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Surfing,M,N
1982-10-13,USA,Florida,North Dade- Interama area of Biscayne Bay,Windsurfing,M,N
1982-11-01,USA,South Carolina,"Isle of Palms, Charleston County",In waist-deep water,M,N
1982-08-29,USA,California,"Morro Rock, Morro Bay, San Obispo County",Surfing,M,Unknown
1982-06-29,SOUTH AFRICA,Eastern Cape Province,Ntlonyana Bay,Surfing,M,Y
1982-09-30,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Surfing,M,N
1982-06-26,BAHAMAS,Andros Islands,North Rat Cay Reef,Spearfishing ,M,N
1982-06-26,USA,South Carolina,"Isle of Palms, Charleston County",Swimming,M,N
1982-01-01,ITALY,Tyrrhenian Sea,"Biodola, Isola d'Elba",Fishing on a boat,M,N
1982-01-01,ITALY,Tyrrhenian Sea,"Lacona, Isola d'Elba",Boat,M,Unknown
1982-01-29,SOUTH AFRICA,Eastern Cape Province,Mpekeweni,Swimming,M,N
1982-02-07,USA,Florida,Elliot Key,Diving,M,Y
1982-02-07,USA,California,"Stillwater Cove, Sonoma County",Scuba diving (submerged),M,N
1982-02-13,USA,Florida,"Palm Beach, Palm Beach County",Swimming,F,Y
1982-02-14,USA,Hawaii,"White Plains Beach, Barbers Point, O'ahu",Swimming,F,N
1982-02-14,USA,Hawaii,"White Plains Beach, Barbers Point, O'ahu",Wading,F,N
1982-01-01,TUNISIA,Biserta,Bechateur,Spearfishing,Unknown,Unknown
1982-02-27,USA,Florida,"Hobe Sound, Palm Beach County",Surfing,M,N
1982-02-28,AUSTRALIA,Tasmania,South Cape Bay,Spearfishing,M,Y
1982-03-01,NEW CALEDONIA,Unknown,Unknown,Spearfishing,M,N
1982-03-07,AUSTRALIA,New South Wales,"Tallow Beach, Byron Bay",Surfing,M,Y
1982-03-10,USA,Florida,"Palm Beach, Palm Beach County",Surfing,M,N
1982-05-01,USA,South Carolina,"Daws Island, Broad River (near Beaufort)",Unknown,F,Unknown
1982-06-13,USA,Hawaii,"Ho'okipa Beach, Pa'ia, Maui","Sailboarding, fell into water 100 yards outside the breakwater",M,N
1982-06-25,USA,Florida,"Ormond Beach / Daytona Beach, Volusia County",Unknown,F,N
1982-02-17,SOUTH AFRICA,Western Cape Province,Mossel Bay,Fishing,M,N
1983-08-20,SOUTH AFRICA,Western Cape Province,"Seal Island, False Bay",Spearfishing,M,N
1983-08-15,USA,Virginia,"Virginia Beach, Princess Anne County",Swimming,F,N
1983-08-13,USA,Florida,"Riviera Beach, Palm Beach County",Skindiving,M,N
1983-08-13,USA,Florida,"6 miles south of Boca Chica Key, Monroe County ",Diving,F,N
1983-07-15,SOUTH AFRICA,Eastern Cape Province,"Seal Point, Cape St. Francis",Surfing,M,N
1983-07-26,AUSTRALIA,Queensland,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",Swimming from the New Venture ,F,Y
1983-07-25,AUSTRALIA,Queensland,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",Swimming from the New Venture ,M,Y
1983-07-25,AUSTRALIA,Queensland,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",14 m prawn trawler New Venture capsized  & sank in heavy seas Three people in the water,M,N
1983-08-20,USA,Oregon,"Cape Kiwanda,Tillamook County",Surfing,M,N
1983-08-06,USA,Rhode Island,Unknown,Fishing,Unknown,N
1983-09-04,USA,Florida,"Off Lake Worth, Palm Beach County",Standing,M,N
1983-12-25,USA,Florida,"Riviera Beach, Palm Beach County",Surfing,M,N
1983-10-17,USA,Florida,"Stuart Beach, Martin County",Surfing,M,N
1983-11-10,SOUTH AFRICA,KwaZulu-Natal,Tongaat,Swimming,F,Unknown
1983-11-10,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,N
1983-11-21,PHILIPPINES,Central Philippines,Unknown,Ferry boat sank,M,N
1983-12-07,SOUTH AFRICA,KwaZulu-Natal,LaMercy,Unknown,M,Unknown
1983-12-21,SOUTH AFRICA,Eastern Cape Province,Nahoon,Swimming,M,N
1983-12-22,SOUTH AFRICA,Eastern Cape Province,Great Fish River,Swimming,M,N
1983-12-24,AUSTRALIA,South Australia,"Dangerous Reef, South Neptune Island",Scuba diving for abalone,M,N
1983-07-12,USA,Florida,"Caloosahatchee River, Lee County",Windsurfing,F,N
1983-12-30,GREECE,Andikira Fokithes,Unknown,Spearfishing,M,Unknown
1983-10-13,USA,Florida,"Daytona Beach, Volusia County",Wading,M,N
1983-07-12,BAHAMAS,Abaco Islands,Green Turtle Cay,Spearfishing,M,N
1983-07-05,USA,Florida,"Riviera Beach, Palm Beach County",Floating on air mattress,M,N
1983-06-29,USA,Florida,"Off 12th Street, Miami Beach",Swimming,M,N
1983-01-01,USA,North & South Carolina,Unknown,Fishing,M,N
1983-01-01,VANUATU,Malampa Province,"Off the beach opposite Atchin Island, Malakula",Ran into the water,M,Y
1983-01-01,Unknown,English Channel,Unknown,Swimming,M,N
1983-01-10,SOUTH AFRICA,Western Cape Province,Muizenberg,Windsurfing,M,N
1983-01-15,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,Unknown,M,Unknown
1983-01-24,USA,South Carolina,60 miles southeast of Beaufort,Fishing,M,N
1983-02-20,SOUTH AFRICA,KwaZulu-Natal,Mtunzini,Paddleskiing,M,N
1983-03-01,NEW CALEDONIA,Loyalty Islands,"We, Lifou",Unknown,Unknown,N
1983-03-10,USA,Florida,"Juno Beach, Palm Beach County",Surfing,M,N
1983-03-22,SOUTH AFRICA,Eastern Cape Province,Nahoon,Surfing,M,N
1983-03-30,SOUTH AFRICA,KwaZulu-Natal,Scottburgh,Spearfishing,M,N
1983-01-08,SOUTH AFRICA,Western Cape Province,Holbaai,Spearfishing,M,N
1983-04-02,USA,Florida,"Lake Worth Beach, Palm Beach County",Surfing,M,N
1983-04-02,SOUTH AFRICA,KwaZulu-Natal,Mpande,Unknown,M,Unknown
1983-06-20,USA,Florida,"Cocoa Beach, Brevard County",Surfing & dangling foot in water amid baitfish,M,N
1983-06-15,ITALY,Northwest Italy,Riomaggiore (Ligura),Scuba diving,M,Unknown
1983-06-01,BAHAMAS,Berry Islands,Whale Cay,Spearfishing,M,N
1983-06-15,BAHAMAS,Unknown,Carter Cay,Unknown,M,N
1983-05-24,USA,Florida," Riviera Beach, Palm Beach County",Surfing,M,N
1983-05-21,USA,Florida,"Haulover Inlet, Dade County",Surfing,M,N
1983-04-19,USA,Florida,Unknown,Surfing,M,Unknown
1983-04-12,SOUTH AFRICA,Eastern Cape Province,Bonza Bay,Fishing,M,N
1983-05-31,USA,Florida,"Intracoastal Waterway, Boca Raton, Palm Beach County",Water-skiing,M,N
1983-06-22,BAHAMAS,Abaco Islands,"Off Sandy Point, Great Abaco Island",Spearfishing,M,Y
1984-09-11,MEXICO,Baja California,Guadalupe Island,Spearfishing,M,N
1984-09-30,USA,California,"Tomales Point, Marin County","Free diving , but surfacing",M,N
1984-09-15,USA,California,"Pigeon Point, San Mateo County",Skindiving,M,Y
1984-09-17,USA,California,"Mission Beach, San Diego County",Wading,M,N
1984-09-19,USA,Florida,Volusia County,Swimming,Unknown,Unknown
1984-09-22,USA,Florida,"Indiatlantic, Brevard County",Surfing,M,N
1984-09-22,USA,Florida,Unknown,Swimming,M,N
1984-09-23,USA,Florida,Volusia County,Surfing,M,N
1984-11-04,USA,Florida,"Fowey Rock, Key Biscayne",Spearfishing,M,N
1984-10-17,USA,Florida,"Boynton Beach, Palm Beach County",Wading,F,Unknown
1984-10-21,USA,Florida,"3 miles south of Sebastian Inlet State Park, Indian River County",Surfing or body surfing,F,N
1984-10-21,USA,Florida,"Wabasso Beach, Indian River County",Swimming,M,Unknown
1984-11-11,USA,Florida,"Jupiter Island Beach, Martin County",Surfing,M,N
1984-11-30,AUSTRALIA,Queensland,1 km off Black's Beach,Sailing on catamaran & fell into the water,M,Y
1984-12-03,ITALY,Tyrrhenian Sea,"Marciana Marina, Isola d'Elba",Boat,Unknown,N
1984-11-08,SOUTH AFRICA,Eastern Cape Province,Gonubie River Mouth,Surfing,M,N
1984-08-24,USA,Florida,"Off Crystal River, Citrus County",Boat capsized?,F,Unknown
1984-09-30,USA,Oregon,"""Turnaround"", Cape Kiwanda, Tillamook County",Surfing (sitting on his board),M,N
1984-08-07,INDONESIA,Unknown,Bali,"Sea disaster, foundering of the cargo vessle M/V Dorolonda",M,Y
1984-10-14,USA,Florida,"Bob Graham Beach, Martin County",Surfing,M,N
1984-07-24,USA,Texas,South Padre Island,Swimming,F,N
1984-07-24,USA,Texas,South Padre Island,Swimming,F,N
1984-01-01,USA,Florida,"Indiatlantic, Brevard County",Surfing,M,N
1984-01-04,SOUTH AFRICA,KwaZulu-Natal,Umlaas Canal,Unknown,F,Y
1984-01-05,SOUTH AFRICA,Eastern Cape Province,Port Alfred,Swimming,M,N
1984-02-11,AUSTRALIA,Queensland,Derwent Island,Spearfishing,M,N
1984-02-12,SOUTH AFRICA,Eastern Cape Province,St. George�s Strand,Unknown,Unknown,Unknown
1984-02-17,SOUTH AFRICA,KwaZulu-Natal,"Shark tank at Oceanographic Research Insitute, Durban",Scuba diving,M,N
1984-02-18,SOUTH AFRICA,Eastern Cape Province,"Paradise Beach, Jeffrey�s Bay",Fishing,M,N
1984-03-01,AUSTRALIA,Western Australia,Coral Bay,Unknown,Unknown,Unknown
1984-01-01,USA,California,San Francisco,Steinhart Aquarium,M,N
1984-03-14,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,Surfing,M,N
1984-03-10,SOUTH AFRICA,Eastern Cape Province,Swartkops River mouth,Rowing,M,N
1984-07-22,SOUTH AFRICA,Western Cape Province,Cape Point,Spearfishing,M,Unknown
1984-07-01,SOUTH AFRICA,KwaZulu-Natal,Sodwana,Spearfishing,M,N
1984-06-15,SOUTH AFRICA,Western Cape Province,"Muizenberg, False Bay",Surfing,M,N
1984-07-01,USA,Florida,Unknown,"During a shark fishing tournament, the 18' Boatem was capsized by waves, throwing 3 men into the water ",M,N
1984-06-03,VANUATU,Malampa Province,"Atchin Island, off Malakula",Swimming,M,Y
1984-05-31,SOUTH AFRICA,Western Cape Province,Arniston,Spearfishing,M,N
1984-03-17,SOMALIA,Unknown,Unknown,Murder,M,Unknown
1984-06-03,USA,Hawaii,"Kane'ohe Bay, O'ahu",Towing her sister on plastic ski board,F,N
1985-08-22,USA,South Carolina,"Palmetto Dunes, Hilton Head, Beaufort County",Wading,M,N
1985-10-05,USA,Alabama,"Gulf Shores, Baldwin County",Fishing,M,N
1985-09-05,USA,Florida,"Fort Pierce Inlet, St Lucie County",Swimming,M,Unknown
1985-09-08,USA,Florida,"Palm Beach, Palm Beach County",Scuba diving,M,N
1985-09-08,SOUTH AFRICA,KwaZulu-Natal,T.O. Strand,Swimming,M,Unknown
1985-09-28,USA,California,"Elephant Rock near Tomales Point, Marin County",Free diving & spearfishing (descending),M,N
1985-10-12,USA,Hawaii,"Barbers Point, O'ahu",Floating on inner tube after diving for lobster,M,N
1985-11-05,USA,California,"Southeast Farallon Island, Farallon Islands",Boat,Unknown,N
1985-10-22,USA,California,"Point Conception, Santa Barbara County",Hookah diving for abalone,M,N
1985-10-24,SOUTH AFRICA,Eastern Cape Province,East London,Body boarding,M,N
1985-11-03,USA,California,5 miles south of Redondo Beach,Fishing,M,N
1985-11-11,AUSTRALIA,Queensland,Gladstone,Fishing,M,N
1985-12-10,USA,North Carolina,New Hanover County,Unknown,M,N
1985-12-22,SOUTH AFRICA,KwaZulu-Natal,Garvies Beach,Surfing,M,N
1985-08-20,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,Unknown
1985-10-18,USA,Hawaii,"Little Glass Shacks, Princeville, Kaua'i",Body boarding,M,N
1985-08-17,USA,Florida,"Bayport, Hernando County",Scuba diving,M,Unknown
1985-07-25,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N
1985-01-01,IRAN,Unknown,"Ramin, near Ahvaz",Fishing,M,Y
1985-07-25,USA,Florida,"Daytona Beach, Volusia County",Wading,F,N
1985-01-01,VANUATU,Malampa Province,"Port Sandwich Bay, Lamap, Malakula",Unknown,M,Y
1985-01-01,SOUTH AFRICA,KwaZulu-Natal,Salt Rock,Spearfishing,M,N
1985-01-01,NEW CALEDONIA,South Province,Amedee Island,Spearfishing,Unknown,N
1985-01-04,SOUTH AFRICA,Western Cape Province,"Buffels Bay, False Bay",Spearfishing,M,N
1985-01-17,SOUTH AFRICA,KwaZulu-Natal,Umbogintwini,Surfing,M,N
1985-01-18,SOUTH AFRICA,KwaZulu-Natal,Umzimkulu,Unknown,M,Unknown
1985-01-27,SOUTH AFRICA,Western Cape Province,Struisbaai,Swimming,M,N
1985-01-16,NEW ZEALAND,South Island,Christchurch,Investigating shark sighting,Unknown,N
1985-02-18,USA,California,"San Miguel Island, Santa Barbara County",Scuba Diving for lobster (at surface),M,N
1985-02-03,USA,Florida,"15 miles north of Sebastian Inlet, Brevard County",Surfing,M,N
1985-07-19,USA,South Carolina,"Folly Beach, Charleston County",Playing in knee-deep water,F,N
1985-07-01,ITALY,Sicily,Punta Secca,Snorkeling,M,N
1985-05-26,USA,California,"Long Beach, Los Angeles County","Surfing, but lying prone on his board",M,N
1985-07-21,USA,California,"Off Shelter Cover (between Fort Bragg & Eureka), Humboldt County",Bottom fishing for lingcod & had hooked a fish,Unknown,N
1985-03-16,USA,Florida,"Palm Beach, Palm Beach County",Surfing,M,N
1985-03-03,AUSTRALIA,South Australia,"Wiseman�s Beach, Peake Bay, Port Lincoln",Free diving for scallops,F,Y
1985-05-08,SOUTH AFRICA,KwaZulu-Natal,Umdhloti,Spearfishing,M,N
1986-11-04,USA,Florida,"Tiger Shores Beach, Martin County",Surfing,M,N
1986-09-22,USA,Florida,"Pinellas Point, Tampa Bay",Unknown,Unknown,Unknown
1986-10-01,USA,Florida,"Floridana Beach, Brevard County",Surfing,M,N
1986-10-01,AUSTRALIA,Western Australia,"Direction Island, Cocos Islands",Unknown,Unknown,Unknown
1986-10-05,SOUTH AFRICA,KwaZulu-Natal,St. Michaels,Racing ski,M,N
1986-10-03,USA,Florida,"Sanibel Island, Lee County",Swimming,F,N
1986-10-17,SOUTH AFRICA,KwaZulu-Natal,Umhlanga,NSB Meshing,M,N
1986-11-19,USA,Florida,"Indiatlantic, Brevard County",Surfing,M,N
1986-09-01,USA,Florida,"Ormond Beach / Daytona Beach, Volusia County",Surfing,Unknown,N
1986-12-01,NEW CALEDONIA,Unknown,I'le Ouen,Spearfishing,Unknown,N
1986-12-04,SOUTH AFRICA,Western Cape Province,Platbank,Spearfishing,M,Unknown
1986-12-06,USA,California,"Monastery Beach, Carmel River State Park, Monterey Peninsula, Monterey California",Free diving  & spearfishing (submerged),M,N
1986-12-06,BAHAMAS,Florida Straits,Off Cay Sal  Banks,Adrift after ditching plane in the sea,M,N
1986-12-11,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,N
1986-12-22,SOUTH AFRICA,Western Cape Province,SAOU Strand,Body boarding,M,Y
1986-12-31,SOUTH AFRICA,Western Cape Province,Agulhas Banks,Spearfishing,M,N
1986-11-30,USA,Florida,"Daytona Beach, Volusia County",Surfing,M,N
1986-09-01,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,Unknown,N
1986-01-01,USA,California,"Linda Mar Beach, Pedro Point, San Mateo County",Surfing,M,N
1986-08-10,SOUTH AFRICA,Western Cape Province,Reef on seaward side of Geyser Island,Spearfishing,M,Unknown
1986-01-12,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",Surfing,M,N
1986-08-19,USA,North Carolina,"Masonboro Inlet, New Hanover County",Surfing,Unknown,N
1986-02-06,SOUTH AFRICA,Western Cape Province,Arniston,Spearfishing,M,N
1986-02-07,SOUTH AFRICA,Eastern Cape Province,"King's Beach, Port Elizabeth",Swimming,M,N
1986-02-17,SOUTH AFRICA,Eastern Cape Province,Cape Recife,Surfing,M,N
1986-02-18,SOUTH AFRICA,Eastern Cape Province,East London,Surfing,M,N
1986-03-05,SOUTH AFRICA,Eastern Cape Province,"The Fence, King's Beach, Port Elizabeth",Surfing,M,N
1986-03-15,SOUTH AFRICA,KwaZulu-Natal,"North Beach, Durban",Treading water,M,N
1986-03-18,SPAIN,C�diz,Tarifa ,Windsurfing,M,N
1986-02-01,AUSTRALIA,Victoria,Jan Juc Beach,Surfing,M,N
1986-04-20,USA,Hawaii,"Kaliiwi, Kauai","Fishing, fell from rocks & disappeared",M,Y
1986-05-15,SOUTH KOREA,Unknown,Unknown,Shell diving,M,Y
1986-05-18,AUSTRALIA,New South Wales,"North Head, Sydney Harbour",Scuba diving,M,N
1986-07-01,SOUTH AFRICA,KwaZulu-Natal,LaMercy,Spearfishing,M,N
1986-07-09,USA,South Carolina,"Myrtle Beach, Horry County",Unknown,M,N
1986-07-26,AUSTRALIA,Western Australia,3 km west of Rottnest Island,Fishing,Unknown,N
1986-08-01,FRANCE,Gulf of Lyons,Gruissan,Unknown,Unknown,N
1986-08-03,AUSTRALIA,New South Wales,"North Head, Sydney Harbour",Scuba diving,F,N
1986-04-01,SPAIN,Catalonia,Lloret-de-Mar,Diving,M,N
1987-07-12,USA,Texas,"Mustang Island, near Port Aransas",Body surfing,F,N
1987-07-21,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,N
1987-08-15,USA,California,"Tunitas Beach, San Mateo County",Surfing (sitting on his board),M,N
1987-08-20,USA,Florida,"Satellite  Beach, Brevard County",Wading,M,N
1987-09-13,SOUTH AFRICA,Western Cape Province,Still Bay,Surfing,M,N
1987-09-18,AUSTRALIA,South Australia,"Merino Rocks, Adelaide",Scuba Diving for scallops,M,Y
1987-10-06,DOMINICAN REPUBLIC,Between DR and Puerto Rico,Mona Passage,"Vessel caught fire & capsized, survivors in the water",Unknown,Y
1987-11-01,SOUTH AFRICA,KwaZulu-Natal,St. Lucia,Unknown,M,Unknown
1987-10-25,SOUTH AFRICA,KwaZulu-Natal,Richards Bay,Boogie boarding,M,Unknown
1987-10-26,USA,California,"Davenport Light, San Mateo County",Surfing,M,N
1987-11-21,USA,Florida,"North of Jupiter Inlet, Palm Beach County",Surfing,M,N
1987-12-13,AUSTRALIA,New South Wales,Shoalhaven,Unknown,F,Unknown
1987-12-17,USA,Florida,"Palm Beach, Palm Beach County",Surfing,M,N
1987-07-12,USA,Texas,"Mustang Island, near Port Aransas",Wading,F,N
1987-10-11,SOUTH AFRICA,Western Cape Province,"Seal Island, False Bay",Spearfishing,M,N
1987-07-11,USA,South Carolina,Winyah Bay,Dropping anchor,Unknown,N
1987-12-20,PHILIPPINES,Mindoro,Off Manila,Ferry boat Dona Paz with 4431 passengers exploded & caught fire when she collided with an  oil tanker ,Unknown,Y
1987-07-01,BAHAMAS,Unknown,Unknown,Spearfishing,M,N
1987-07-09,BAHAMAS,Exuma Islands,Sampson Cay,Snorkeling,M,N
1987-01-01,MONTENEGRO,Adriatic Sea,"Mogren Beach, Budva",Jumped into the water from a cliff,M,Unknown
1987-01-01,ITALY,Tyrrhenian Sea,"Marciana Marina, Isola d'Elba",Boat,M,N
1987-01-28,SOUTH AFRICA,Eastern Cape Province,Eerste River,Spearfishing,M,N
1987-02-19,SOLOMON ISLANDS,Between Honiara & Isabel Island,Unknown,The inter-island ferry Vula sank in heavy weather,Unknown,Y
1987-02-28,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",Windsurfing,M,N
1987-03-30,SOUTH AFRICA,Western Cape Province,Muizenberg,Unknown,Unknown,N
1987-03-30,AUSTRALIA,Western Australia,Fourth Beach / Twilgth Beach,Surfing,M,N
1987-01-06,AUSTRALIA,Queensland,Lizard Island,Swimming,M,N
1987-04-15,USA,Hawaii,"Kailua-Kona, Hawai'i",Swimming from shore to anchored sailboat,M,Y
1987-04-18,USA,Texas,"Mustang Island, near Port Aransas",Swimming,F,N
1987-04-19,SOUTH AFRICA,KwaZulu-Natal,Port Shepstone,Fishing,M,Unknown
1987-05-06,AUSTRALIA,New South Wales,Unknown,Fishing,M,N
1987-05-08,USA,Florida,"St Augustine, St. Johns County",Surfing,M,N
1987-05-25,USA,South Carolina,"Myrtle Beach, Horry County",Unknown,M,N
1987-06-13,USA,Florida,"Nest Key, Monroe County",Fishing,M,N
1987-04-01,VANUATU,Malampa Province,Vao Island,Swimming,M,Y
1988-08-22,USA,Louisiana,New Orleans,Diving in Sharkey's Reef restaurant�s aquarium,M,N
1988-08-22,ITALY,Manfredonia ,Ippocampo,Unknown,M,N
1988-08-19,JAPAN,Tokyo Prefecture,Ogasawara Islands,Unknown,M,N
1988-08-11,USA,California,"Klamath River, Del Norte County",Surfing,M,N
1988-07-23,BAHAMAS,Unknown,Unknown,Free diving & spearfishing ,M,N
1988-07-04,BAHAMAS,Unknown,Unknown,Snorkeling,M,N
1988-07-17,BAHAMAS,Unknown,Unknown,Diving,M,N
1988-07-11,USA,Florida,"Jensen Beach, Martin County",Swimming,F,N
1988-07-01,BAHAMAS,Unknown,Unknown,Spearfishing,M,N
1988-09-13,USA,Florida,"Shell Island Panama City Beach, Bay County",Snorkeling,M,Y
1988-07-19,BAHAMAS,Unknown,Unknown,Spearfishing on scuba,M,N
1988-09-13,USA,Florida,"Shell Island Panama City Beach, Bay County",Walking,F,N
1988-10-24,PHILIPPINES,Viscayan Sea,Unknown,The MV Dona Marilyn sank in Typhoon Unsang with the loss of 389 lives,Unknown,Y
1988-10-01,USA,Florida,"Sanibel Island, Lee County",Wading,F,N
1988-10-06,AUSTRALIA,South Australia,Moama Beach,Surfing,M,N
1988-10-10,USA,Florida,"Playalinda, Brevard County",Surfing,M,N
1988-10-11,USA,Florida,"Fort Pierce, St. Lucie County ",Surfing,M,N
1988-10-14,USA,Florida,"Boca Raton, Palm Beach County",Surfing,M,N
1988-10-22,AUSTRALIA,Victoria,Phillip Island,Surfing,M,N
1988-10-23,USA,Oregon,"Indian Beach, Ecola State Park, just north of Cannon Beach, Clatsop County ",Surfing (sitting on his board),M,N
1988-06-19,SOUTH AFRICA,Western Cape Province,Sculphoek,Spearfishing,M,N
1988-11-07,AUSTRALIA,Queensland,"Off North Keppel Island, off Yeppoon","The Christie V sank on 11/6/1988, survivors were adrift on a dinghy",M,Y
1988-11-08,AUSTRALIA,Queensland,"Off North Keppel Island, off Yeppoon","The Christie V sank on 11/6/1988, survivors were adrift on a dinghy",M,Y
1988-12-15,CHILE,Valpariso Province,Valpariso,Skindiving,M,Y
1988-09-28,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N
1988-06-16,USA,North Carolina,"Ocracoke, Hyde County",Scuba diving,M,N
1988-07-04,USA,Florida,"New Smyrna Beach, Volusia County",Boogie boarding,M,N
1988-06-05,USA,Florida,"Daytona Beach, Volusia County",Swimming,M,N
1988-01-01,AUSTRALIA,New South Wales,Sydney,Surfing,M,N
