,Year,Month,Activity,Type,Fatal
1136,2008,Mar,Wading,Unprovoked,0
1137,2008,Apr,Surfing,Unprovoked,0
1138,2008,Apr,Body boarding,Unprovoked,1
1139,2008,Apr,Walking out of the water after surfing,Unprovoked,0
1140,2008,Mar,Fishing from surfski,Unprovoked,0
1141,2008,Mar,Surfing,Unprovoked,0
1142,2008,Mar,Boogie Boarding,Unprovoked,0
1143,2008,Mar,Walking out of the water after surfing,Unprovoked,0
1144,2008,Mar,Wading,Unprovoked,0
1145,2008,Mar,Jet skiing,Unprovoked,0
1146,2008,Mar,Surfing,Unprovoked,0
1147,2008,Feb,Diving,Unprovoked,1
1148,2008,Feb,Spearfishing,Unprovoked,0
1149,2008,Feb,Surfing,Unprovoked,0
1150,2008,Feb,Surfing,Unprovoked,0
1151,2008,Feb,Surf-skiing,Unprovoked,0
1152,2008,Jan,Surf-skiing,Unprovoked,0
1153,2008,Jan,Accidentally stood on hooked shark's tail before attempting to gut it ,Provoked,0
1154,2008,Jan,Attempting to chase shark out to sea,Unprovoked,0
1155,2008,Jan,Surfing,Unprovoked,0
1156,2008,Fall,Fishing for snapper,Provoked,0
1157,2008,Summer,Surfing,Unprovoked,0
1158,2007,Dec,Surfing,Unprovoked,0
1159,2007,Dec,Surfing,Unprovoked,0
1160,2007,Dec,Swimming,Unprovoked,0
1161,2007,Dec,Surfing,Unprovoked,0
1162,2007,Dec,Surfing,Unprovoked,0
1163,2007,Dec,Removing fish from a trap,Unprovoked,0
1164,2007,Nov,Fishing,Provoked,0
1165,2007,Nov,Surfing,Unprovoked,0
1166,2007,Nov,Surfing,Unprovoked,0
1167,2007,Nov,Surfing,Unprovoked,0
1168,2007,Nov,Surfing,Unprovoked,0
1169,2007,Nov,Surfing,Unprovoked,0
1170,2007,Oct,Floating,Unprovoked,0
1171,2007,Oct,Surf-skiing,Unprovoked,0
1172,2007,Oct,Spearfishing,Unprovoked,0
1173,2007,Oct,Surfing,Unprovoked,0
1174,2007,Oct,Surfing,Unprovoked,0
1175,2007,Sep,Surfing,Unprovoked,0
1176,2007,Sep,"The 426-ton cargo ship Mia, laden with cement, capsized in heavy seas ",Unprovoked,1
1177,2007,Sep,Swimming,Unprovoked,1
1178,2007,Sep,Spearfishing,Unprovoked,0
1179,2007,Sep,Surfing,Unprovoked,0
1180,2007,Sep,Swimming,Unprovoked,0
1181,2007,Sep,Surfing,Unprovoked,0
