Date,Year,Month,Day,Type,Country,Activity,Sex,Age,Fatal,Species
2018-06-25,2018,6,25,Boating,Usa,Others,Female,57,No,White Shark
2018-02-23,2018,2,23,Unprovoked,Australia,Swimming,Female,55,No,White Shark
2018-04-15,2018,4,15,Unprovoked,Australia,Surfing,Male,37,No,Unknown
2018-04-14,2018,4,14,Unprovoked,Bahamas,Surfing,Male,27,No,Tiger Shark
2018-04-09,2018,4,9,Unprovoked,New Caledonia,Windsurfing,Unknown,27,No,Others
2018-04-05,2018,4,5,Unprovoked,Bahamas,Swimming,Male,12,No,Bull Shark
2018-04-03,2018,4,3,Unprovoked,South Africa,Surfing,Male,19,No,White Shark
2018-03-31,2018,3,31,Unprovoked,Usa,Others,Male,25,No,Tiger Shark
2018-03-14,2018,3,14,Unprovoked,Australia,Wading,Male,10,No,Wobbegong Shark
2018-03-09,2018,3,9,Unprovoked,Australia,Swimming,Male,69,No,Others
2018-03-09,2018,3,9,Unprovoked,Australia,Surfing,Male,18,No,Others
2018-02-24,2018,2,24,Unprovoked,South Africa,Scuba Diving,Male,38,No,Blacktip
2018-02-17,2018,2,17,Provoked,Australia,Others,Male,34,No,Unknown
2018-04-15,2018,4,15,Unprovoked,Brazil,Swimming,Male,34,Unknown,Unknown
2018-02-15,2018,2,15,Unprovoked,Australia,Walking,Male,35,No,Bull Shark
2018-02-11,2018,2,11,Invalid,Brazil,Others,Female,46,No,Others
2018-02-03,2018,2,3,Unprovoked,Others,Snorkeling,Male,45,No,Others
2018-02-01,2018,2,1,Invalid,Australia,Spearfishing,Male,14,No,Others
2018-01-28,2018,1,28,Unprovoked,Australia,Others,Male,18,No,Bull Shark
2018-01-21,2018,1,21,Unprovoked,New Caledonia,Spearfishing,Male,27,No,Bull Shark
2018-01-14,2018,1,14,Unprovoked,Australia,Diving,Male,27,No,Others
2018-01-13,2018,1,13,Unprovoked,Australia,Free Diving,Male,28,No,White Shark
2018-01-12,2018,1,12,Unprovoked,Brazil,Surfing,Male,20,No,Small Shark
2018-01-05,2018,1,5,Unprovoked,Australia,Surfing,Male,27,No,Wobbegong Shark
2018-06-18,2018,6,18,Unprovoked,Usa,Standing,Female,11,No,Unknown
2018-04-15,2018,4,15,Unprovoked,Australia,Surfing,Male,41,No,Unknown
2018-02-14,2018,2,14,Invalid,Australia,Swimming,Female,27,No,Wobbegong Shark
2018-04-15,2018,4,15,Unprovoked,Others,Swimming,Male,54,No,Bull Shark
2018-05-13,2018,5,13,Invalid,England,Fishing,Male,21,No,Others
2018-04-19,2018,4,19,Unprovoked,Usa,Body Boarding,Male,29,No,Others
2018-06-09,2018,6,9,Invalid,Usa,Surfing,Male,48,No,Unknown
2018-06-08,2018,6,8,Unprovoked,Australia,Surfing,Male,27,No,Others
2018-06-04,2018,6,4,Provoked,Mexico,Free Diving,Male,27,No,Tiger Shark
2018-06-03,2018,6,3,Unprovoked,Australia,Kite Surfing,Male,27,No,Unknown
2018-06-03,2018,6,3,Unprovoked,Brazil,Swimming,Male,18,Yes,Tiger Shark
2018-05-26,2018,5,26,Unprovoked,Usa,Walking,Male,15,No,Bull Shark
2018-05-26,2018,5,26,Unprovoked,Usa,Standing,Male,12,No,Unknown
2018-05-24,2018,5,24,Provoked,Australia,Others,Male,32,No,Others
2018-05-21,2018,5,21,Unprovoked,Usa,Boogie Boarding,Male,10,No,Unknown
2018-05-13,2018,5,13,Unprovoked,Usa,Swimming,Male,10,No,Unknown
2018-05-27,2018,5,27,Unprovoked,Usa,Fishing,Male,52,No,Others
2018-05-01,2018,5,1,Provoked,Australia,Others,Female,34,No,Nurse Shark
2018-04-28,2018,4,28,Unprovoked,Australia,Surfing,Male,27,No,Unknown
2018-04-22,2018,4,22,Unprovoked,South Africa,Others,Male,33,No,White Shark
2018-04-24,2018,4,24,Unprovoked,Australia,Surfing,Male,27,No,White Shark
2018-04-25,2018,4,25,Unprovoked,Australia,Surfing,Male,60,No,Others
2018-04-25,2018,4,25,Questionable,Australia,Surfing,Male,27,No,Questionable Incident
2018-04-23,2018,4,23,Unprovoked,Others,Fishing,Male,32,No,Tiger Shark
2018-04-30,2018,4,30,Unprovoked,Others,Swimming,Male,27,No,Unknown
2018-05-12,2018,5,12,Unprovoked,South Africa,Surfing,Male,27,No,Unknown
2018-04-28,2018,4,28,Unprovoked,Costa Rica,Scuba Diving,Male,30,No,Tiger Shark
2017-05-30,2017,5,30,Provoked,Usa,Others,Female,20,No,Others
2017-04-29,2017,4,29,Unprovoked,South Africa,Surfing,Male,14,No,Unknown
2017-05-27,2017,5,27,Invalid,Australia,Fishing,Male,73,No,Unknown
2017-05-12,2017,5,12,Unprovoked,Others,Spearfishing,Male,41,No,Unknown
2017-05-06,2017,5,6,Provoked,Australia,Others,Male,29,No,Others
2017-05-06,2017,5,6,Unprovoked,Mexico,Snorkeling,Male,33,Yes,Unknown
2017-04-29,2017,4,29,Unprovoked,Usa,Swimming,Female,27,No,Unknown
2017-04-29,2017,4,29,Unprovoked,Reunion,Body Boarding,Male,28,Yes,Unknown
2017-04-29,2017,4,29,Unprovoked,Usa,Surfing,Female,33,No,Unknown
2017-04-27,2017,4,27,Unprovoked,New Zealand,Body Boarding,Female,27,No,Unknown
2017-04-26,2017,4,26,Invalid,Usa,Others,Female,27,Unknown,Others
2017-04-17,2017,4,17,Unprovoked,Usa,Others,Unknown,27,No,Unknown
2017-04-22,2017,4,22,Unprovoked,Others,Snorkeling,Female,40,No,Unknown
2017-05-28,2017,5,28,Unprovoked,Usa,Others,Male,27,No,Tiger Shark
2017-06-21,2017,6,21,Unprovoked,Usa,Swimming,Female,16,No,Unknown
2017-06-02,2017,6,2,Unprovoked,Bahamas,Snorkeling,Female,32,No,Tiger Shark
2017-06-04,2017,6,4,Unprovoked,Usa,Spearfishing,Male,27,No,Others
2017-06-07,2017,6,7,Unprovoked,Others,Surfing,Male,30,No,Others
2017-06-10,2017,6,10,Unprovoked,Usa,Surfing,Male,19,No,Unknown
2017-06-10,2017,6,10,Unprovoked,Australia,Surfing,Female,27,No,Others
2017-06-11,2017,6,11,Unprovoked,Australia,Body Boarding,Male,48,No,White Shark
2017-06-14,2017,6,14,Unprovoked,Bahamas,Others,Female,27,No,Unknown
2017-06-05,2017,6,5,Unprovoked,French Polynesia,Surfing,Male,27,No,Unknown
2017-06-17,2017,6,17,Unprovoked,Spain,Swimming,Male,82,No,Unknown
2017-06-18,2017,6,18,Unprovoked,Reunion,Body Boarding,Male,34,No,Bull Shark
2017-06-18,2017,6,18,Unprovoked,Usa,Swimming,Female,14,No,Bull Shark
2017-06-29,2017,6,29,Invalid,Usa,Fishing,Male,27,Unknown,Others
2017-07-07,2017,7,7,Unprovoked,South Africa,Surfing,Female,13,No,White Shark
2017-04-14,2017,4,14,Unprovoked,Usa,Surfing,Male,28,No,Tiger Shark
2017-04-17,2017,4,17,Unprovoked,Australia,Surfing,Female,17,Yes,White Shark
2017-01-22,2017,1,22,Unprovoked,Usa,Others,Male,27,No,Unknown
2017-04-13,2017,4,13,Unprovoked,Usa,Surfing,Male,17,No,Unknown
2017-02-21,2017,2,21,Unprovoked,Reunion,Body Boarding,Male,26,Yes,Unknown
2017-01-05,2017,1,5,Unprovoked,Usa,Wading,Male,47,No,Unknown
2017-01-09,2017,1,9,Unprovoked,Indonesia,Surfing,Male,48,No,Bull Shark
2017-01-13,2017,1,13,Unprovoked,Usa,Others,Male,27,No,Unknown
2017-01-13,2017,1,13,Unprovoked,Australia,Swimming,Male,57,No,Unknown
2017-01-21,2017,1,21,Unprovoked,Australia,Scuba Diving,Male,55,No,Bull Shark
2017-07-09,2017,7,9,Unprovoked,Usa,Swimming,Male,46,No,Bull Shark
2017-01-24,2017,1,24,Unprovoked,Brazil,Swimming,Male,21,No,Unknown
2017-02-01,2017,2,1,Unprovoked,Bahamas,Scuba Diving,Male,37,No,Others
2017-02-01,2017,2,1,Boating,Usa,Others,Unknown,27,No,White Shark
2017-02-06,2017,2,6,Boating,South Africa,Kayak Fishing,Male,27,No,Tiger Shark
2017-02-06,2017,2,6,Provoked,Brazil,Others,Female,27,No,Others
2017-02-11,2017,2,11,Unprovoked,Usa,Swimming,Male,22,No,Unknown
2017-02-17,2017,2,17,Unprovoked,Australia,Spearfishing,Male,26,No,Unknown
2017-02-24,2017,2,24,Unprovoked,Australia,Surfing,Male,27,No,Unknown
2017-04-12,2017,4,12,Unprovoked,Usa,Surfing,Female,27,No,Unknown
2017-02-25,2017,2,25,Unprovoked,Australia,Snorkeling,Female,27,No,Bull Shark
2017-03-09,2017,3,9,Unprovoked,Bahamas,Others,Male,58,No,Others
2017-03-11,2017,3,11,Unprovoked,Philippines,Spearfishing,Male,25,No,Others
2017-03-18,2017,3,18,Boating,Usa,Kayaking,Male,27,No,White Shark
2017-03-19,2017,3,19,Unprovoked,Australia,Body Boarding,Male,30,No,Unknown
2017-03-27,2017,3,27,Unprovoked,Usa,Surfing,Male,58,No,Unknown
2017-04-02,2017,4,2,Unprovoked,Usa,Swimming,Female,17,No,Bull Shark
2017-04-02,2017,4,2,Unprovoked,Australia,Others,Male,39,No,Unknown
2017-04-05,2017,4,5,Unprovoked,Usa,Swimming,Female,51,No,Unknown
2017-04-06,2017,4,6,Unprovoked,Usa,Swimming,Male,16,No,Unknown
2017-04-10,2017,4,10,Unprovoked,Usa,Swimming,Female,21,No,Unknown
2017-04-10,2017,4,10,Unprovoked,Usa,Paddle Boarding,Female,10,No,Unknown
2017-04-11,2017,4,11,Unprovoked,Usa,Surfing,Female,35,No,Unknown
2017-07-07,2017,7,7,Provoked,Mexico,Fishing,Male,32,No,Tiger Shark
2017-06-19,2017,6,19,Unprovoked,Usa,Surfing,Male,27,No,Unknown
2017-07-11,2017,7,11,Boating,Usa,Kayaking,Male,27,No,White Shark
2017-09-25,2017,9,25,Unprovoked,Usa,Surfing,Male,27,No,Others
2017-10-22,2017,10,22,Unprovoked,Australia,Others,Female,15,No,White Shark
2017-10-21,2017,10,21,Unprovoked,New Zealand,Kayaking,Male,27,No,Others
2017-10-18,2017,10,18,Unprovoked,Usa,Swimming,Male,27,No,Others
2017-10-09,2017,10,9,Unprovoked,Usa,Surfing,Male,54,No,Tiger Shark
2017-10-05,2017,10,5,Unprovoked,Usa,Snorkeling,Female,40,No,Others
2017-10-01,2017,10,1,Invalid,South Africa,Scuba Diving,Male,31,Unknown,Others
2017-09-25,2017,9,25,Unprovoked,Australia,Surfing,Male,27,No,White Shark
2017-10-23,2017,10,23,Unprovoked,Usa,Surfing,Male,17,No,Unknown
2017-09-24,2017,9,24,Invalid,Usa,Surfing,Male,33,Unknown,Questionable Incident
2017-09-24,2017,9,24,Unprovoked,Usa,Surfing,Male,27,No,Others
2017-09-20,2017,9,20,Unprovoked,Usa,Surfing,Male,27,No,Unknown
2017-09-16,2017,9,16,Unprovoked,Spain,Body Surfing,Male,13,No,Others
2017-09-16,2017,9,16,Unprovoked,Usa,Surfing,Male,28,No,Unknown
2017-09-15,2017,9,15,Invalid,South Africa,Scuba Diving,Male,25,Unknown,Unknown
2017-10-23,2017,10,23,Unprovoked,Usa,Swimming,Female,60,No,Unknown
2017-10-23,2017,10,23,Unprovoked,Others,Swimming,Male,27,No,Unknown
2017-09-14,2017,9,14,Boating,Australia,Fishing,Unknown,27,No,White Shark
2017-11-25,2017,11,25,Sea Disaster,Others,Others,Unknown,27,Yes,Blue
2017-12-31,2017,12,31,Unprovoked,Usa,Surfing,Female,54,No,Tiger Shark
2017-12-30,2017,12,30,Unprovoked,Usa,Surfing,Female,35,No,Unknown
2017-07-14,2017,7,14,Unprovoked,Australia,Surfing,Male,27,No,Unknown
2017-12-09,2017,12,9,Unprovoked,Bahamas,Snorkeling,Female,25,No,Nurse Shark
2017-11-30,2017,11,30,Unprovoked,Costa Rica,Scuba Diving,Male,26,No,Tiger Shark
2017-11-30,2017,11,30,Unprovoked,Costa Rica,Scuba Diving,Female,49,Yes,Tiger Shark
2017-11-24,2017,11,24,Unprovoked,Usa,Spearfishing,Male,25,No,White Shark
2017-10-26,2017,10,26,Unprovoked,Usa,Others,Male,27,No,Unknown
2017-11-18,2017,11,18,Unprovoked,Usa,Surfing,Female,14,No,Unknown
2017-11-13,2017,11,13,Unprovoked,Unknown,Surfing,Male,24,No,Unknown
2017-11-13,2017,11,13,Unprovoked,Australia,Surfing,Male,25,No,Others
2017-11-04,2017,11,4,Unprovoked,Cuba,Others,Male,22,Yes,Tiger Shark
2017-10-31,2017,10,31,Unprovoked,Australia,Snorkeling,Male,7,No,Others
2017-10-28,2017,10,28,Unprovoked,Australia,Surfing,Male,31,No,Wobbegong Shark
2017-09-15,2017,9,15,,Others,Fishing,Male,27,No,Unknown
2017-12-21,2017,12,21,Provoked,Others,Others,Male,24,No,Nurse Shark
2017-09-13,2017,9,13,Unprovoked,Usa,Surfing,Male,18,No,Others
2017-08-03,2017,8,3,Provoked,Usa,Fishing,Male,34,No,Others
2017-09-10,2017,9,10,Unprovoked,Australia,Swimming,Male,27,No,Unknown
2017-07-20,2017,7,20,Unprovoked,Usa,Others,Male,50,No,White Shark
2017-07-20,2017,7,20,Boating,Usa,Kayaking,Male,40,No,White Shark
2017-07-22,2017,7,22,Unprovoked,Usa,Others,Female,40,No,Small Shark
2017-07-23,2017,7,23,Unprovoked,Spain,Swimming,Female,27,No,Blue
2017-07-23,2017,7,23,Unprovoked,Usa,Others,Female,27,No,Others
2017-07-24,2017,7,24,Unprovoked,Others,Surfing,Male,37,No,Unknown
2017-07-26,2017,7,26,Unprovoked,Bahamas,Spearfishing,Male,27,No,Unknown
2017-07-27,2017,7,27,Unprovoked,Bahamas,Snorkeling,Female,27,No,Unknown
2017-07-29,2017,7,29,Unprovoked,Usa,Others,Female,12,No,Unknown
2017-07-29,2017,7,29,Invalid,Usa,Swimming,Male,10,Unknown,Small Shark
2017-07-31,2017,7,31,Unprovoked,Usa,Others,Male,15,No,Unknown
2017-08-01,2017,8,1,Boating,Usa,Others,Male,27,No,White Shark
2017-07-14,2017,7,14,Unprovoked,Usa,Surfing,Male,27,No,White Shark
2017-08-05,2017,8,5,Unprovoked,Egypt,Snorkeling,Female,20,No,White Shark
2017-09-02,2017,9,2,Unprovoked,Usa,Surfing,Male,17,No,Unknown
2017-08-10,2017,8,10,Unprovoked,Usa,Swimming,Male,13,No,Blacktip
2017-09-06,2017,9,6,Unprovoked,Solomon Islands,Spearfishing,Male,27,No,Unknown
2017-09-03,2017,9,3,Unprovoked,South Africa,Others,Male,27,Yes,Unknown
2017-09-03,2017,9,3,Unprovoked,Japan,Surfing,Male,42,No,Unknown
2017-09-02,2017,9,2,Unprovoked,Usa,Swimming,Male,27,No,Nurse Shark
2017-09-02,2017,9,2,Unprovoked,Usa,Swimming,Female,27,No,Unknown
2017-09-10,2017,9,10,Unprovoked,Australia,Surfing,Male,35,No,White Shark
2017-08-29,2017,8,29,Unprovoked,Australia,Surfing,Male,37,No,White Shark
2017-08-26,2017,8,26,Unprovoked,New Zealand,Canoeing,Male,27,No,Unknown
2017-08-23,2017,8,23,Unprovoked,Usa,Others,Male,69,No,White Shark
2017-08-27,2017,8,27,Unprovoked,Usa,Wading,Female,3,No,Unknown
2017-08-18,2017,8,18,Unprovoked,Bahamas,Spearfishing,Male,27,No,Others
2016-05-15,2016,5,15,Provoked,Usa,Others,Female,23,No,Nurse Shark
2016-05-29,2016,5,29,Unprovoked,Usa,Swimming,Male,13,No,Others
2016-05-22,2016,5,22,Unprovoked,Usa,Swimming,Female,57,No,Unknown
2016-05-21,2016,5,21,Unprovoked,Usa,Swimming,Female,22,No,Bull Shark
2016-05-21,2016,5,21,Unprovoked,Usa,Swimming,Female,11,No,Unknown
2016-05-18,2016,5,18,Unprovoked,Usa,Swimming,Male,48,No,Blacktip
2016-04-25,2016,4,25,Unprovoked,Indonesia,Surfing,Male,24,No,Bull Shark
2016-05-03,2016,5,3,Unprovoked,Usa,Floating,Male,59,No,Unknown
2016-05-02,2016,5,2,Provoked,New Zealand,Fishing,Male,39,No,Mako Shark
2016-04-23,2016,4,23,Unprovoked,Usa,Surfing,Male,15,No,Unknown
2016-04-22,2016,4,22,Unprovoked,South Africa,Surf Skiing,Male,27,No,White Shark
2016-04-19,2016,4,19,Unprovoked,Australia,Swimming,Male,12,No,Wobbegong Shark
2016-05-29,2016,5,29,Unprovoked,Usa,Swimming,Female,52,No,Unknown
2016-04-18,2016,4,18,Provoked,French Polynesia,Spearfishing,Male,26,No,Others
2016-04-18,2016,4,18,Provoked,French Polynesia,Spearfishing,Male,22,No,Others
2016-06-07,2016,6,7,Invalid,Usa,Surfing,Male,27,Unknown,Others
2016-05-31,2016,5,31,Unprovoked,Australia,Surfing,Male,29,Yes,White Shark
2016-06-02,2016,6,2,Unprovoked,New Caledonia,Kite Surfing,Male,27,No,Others
2016-06-02,2016,6,2,Unprovoked,Australia,Spearfishing,Male,27,Unknown,Bronze Whaler Shark
2016-06-04,2016,6,4,Unprovoked,Egypt,Swimming,Male,23,No,Mako Shark
2016-06-05,2016,6,5,Unprovoked,Australia,Diving,Female,60,Yes,Others
2016-06-05,2016,6,5,Unprovoked,Usa,Swimming,Male,64,No,Unknown
2016-06-11,2016,6,11,Unprovoked,Usa,Standing,Male,19,No,Others
2016-06-14,2016,6,14,Unprovoked,Usa,Others,Female,6,No,Others
2016-06-15,2016,6,15,Provoked,Australia,Spearfishing,Male,19,No,Others
2016-06-15,2016,6,15,Unprovoked,Usa,Surfing,Male,27,No,Others
2016-06-21,2016,6,21,Unprovoked,Usa,Wading,Male,27,No,Unknown
2016-06-21,2016,6,21,Unprovoked,Usa,Floating,Male,42,No,Others
2016-06-23,2016,6,23,Unprovoked,South Africa,Spearfishing,Male,43,No,White Shark
2016-04-09,2016,4,9,Unprovoked,New Caledonia,Walking,Female,69,Yes,Tiger Shark
2016-06-24,2016,6,24,Unprovoked,Others,Scuba Diving,Male,59,No,Others
2016-04-13,2016,4,13,Unprovoked,Usa,Spearfishing,Male,26,No,Bull Shark
2016-02-19,2016,2,19,Unprovoked,New Caledonia,Spearfishing,Male,31,No,Unknown
2016-04-07,2016,4,7,Unprovoked,Usa,Fishing,Male,34,No,Others
2016-06-27,2016,6,27,Unprovoked,Usa,Others,Male,35,No,Others
2016-01-02,2016,1,2,Unprovoked,Australia,Spearfishing,Male,31,No,Others
2016-01-05,2016,1,5,Unprovoked,Australia,Wading,Male,11,No,Blacktip
2016-01-11,2016,1,11,Unprovoked,Australia,Surfing,Male,27,No,Wobbegong Shark
2016-01-23,2016,1,23,Unprovoked,Usa,Paddle Boarding,Male,48,No,Tiger Shark
2016-01-24,2016,1,24,Boating,Others,Fishing,Male,27,No,Mako Shark
2016-01-24,2016,1,24,Unprovoked,Usa,Spearfishing,Male,27,No,Bull Shark
2016-01-25,2016,1,25,Unprovoked,Usa,Surfing,Female,15,No,Unknown
2016-01-28,2016,1,28,Unprovoked,Usa,Surfing,Male,27,No,Others
2016-01-29,2016,1,29,Boating,South Africa,Kayak Fishing,Male,27,No,Unknown
2016-02-02,2016,2,2,Unprovoked,Brazil,Swimming,Male,41,No,Others
2016-02-04,2016,2,4,Unprovoked,Australia,Windsurfing,Male,40,No,Unknown
2016-02-05,2016,2,5,Unprovoked,Australia,Walking,Female,45,No,Unknown
2016-02-12,2016,2,12,Unprovoked,Others,Wading,Female,27,No,Unknown
2016-02-22,2016,2,22,Unprovoked,New Caledonia,Kite Surfing,Male,21,No,Unknown
2016-03-02,2016,3,2,Unprovoked,Brazil,Swimming,Male,41,No,Others
2016-03-03,2016,3,3,Unprovoked,Australia,Fishing,Male,27,No,Bronze Whaler Shark
2016-03-04,2016,3,4,Unprovoked,Usa,Others,Male,12,No,Unknown
2016-03-10,2016,3,10,Unprovoked,Fiji,Others,Male,45,Yes,Unknown
2016-03-11,2016,3,11,Unprovoked,Usa,Body Surfing,Male,19,No,Unknown
2016-03-26,2016,3,26,Provoked,Bahamas,Others,Male,9,No,Nurse Shark
2016-03-28,2016,3,28,Unprovoked,Australia,Surfing,Male,41,No,Unknown
2016-03-30,2016,3,30,Unprovoked,Australia,Surfing,Male,22,No,Unknown
2016-03-31,2016,3,31,Unprovoked,Usa,Snorkeling,Female,46,No,Unknown
2016-04-07,2016,4,7,Invalid,Usa,Others,Male,27,Unknown,Unknown
2016-06-25,2016,6,25,Unprovoked,Usa,Surfing,Male,11,No,Unknown
2016-07-04,2016,7,4,Provoked,Australia,Fishing,Male,34,No,Nurse Shark
2016-09-06,2016,9,6,Unprovoked,New Caledonia,Kite Surfing,Male,50,Yes,Unknown
2016-09-11,2016,9,11,Unprovoked,Usa,Wading,Male,27,No,Others
2016-09-15,2016,9,15,Boating,Australia,Fishing,Unknown,27,No,Unknown
2016-09-15,2016,9,15,Unprovoked,Australia,Surfing,Male,27,No,Others
2016-09-17,2016,9,17,Unprovoked,Australia,Surfing,Male,27,No,Unknown
2016-09-17,2016,9,17,Unprovoked,Usa,Surfing,Male,43,No,Unknown
2016-09-18,2016,9,18,Unprovoked,Usa,Surfing,Male,43,No,Unknown
2016-09-18,2016,9,18,Unprovoked,Usa,Surfing,Male,36,No,Unknown
2016-09-18,2016,9,18,Unprovoked,Usa,Surfing,Male,16,No,Unknown
2016-09-26,2016,9,26,Unprovoked,Australia,Surfing,Male,17,No,White Shark
2016-10-01,2016,10,1,Unprovoked,Usa,Others,Male,32,No,Unknown
2016-10-02,2016,10,2,Unprovoked,Usa,Surfing,Male,21,No,Unknown
2016-10-10,2016,10,10,Unprovoked,Usa,Surfing,Male,29,No,Unknown
2016-10-12,2016,10,12,Unprovoked,Australia,Surfing,Male,25,No,Unknown
2016-10-13,2016,10,13,Invalid,Mexico,Others,Male,27,Unknown,White Shark
2016-10-15,2016,10,15,Unprovoked,Australia,Surfing,Male,27,No,Unknown
2016-10-21,2016,10,21,Unprovoked,Usa,Surfing,Male,36,No,Others
2016-10-24,2016,10,24,Unprovoked,Australia,Surfing,Male,36,No,Unknown
2016-10-29,2016,10,29,Unprovoked,Usa,Surfing,Male,42,No,Unknown
2016-10-30,2016,10,30,Unprovoked,Usa,Surfing,Male,41,No,Unknown
2016-11-14,2016,11,14,Unprovoked,Usa,Floating,Female,58,No,Tiger Shark
2016-11-28,2016,11,28,Provoked,Australia,Fishing,Male,73,No,Others
2016-12-01,2016,12,1,Unprovoked,Australia,Surfing,Male,65,No,White Shark
2016-12-06,2016,12,6,Provoked,Australia,Surf Fishing,Male,20,No,Wobbegong Shark
2016-12-11,2016,12,11,Unprovoked,French Polynesia,Fishing,Male,27,No,Unknown
2016-12-14,2016,12,14,Unprovoked,Australia,Free Diving,Male,61,No,Unknown
2016-12-19,2016,12,19,Unprovoked,South Africa,Surf Skiing,Male,55,No,White Shark
2016-12-24,2016,12,24,Unprovoked,Australia,Snorkeling,Female,27,No,Small Shark
2016-12-27,2016,12,27,Unprovoked,Usa,Surfing,Male,16,No,Unknown
2016-07-06,2016,7,6,Unprovoked,Usa,Swimming,Female,42,No,Unknown
2016-09-07,2016,9,7,Unprovoked,Usa,Swimming,Female,51,No,Tiger Shark
2016-10-14,2016,10,14,Unprovoked,Usa,Snorkeling,Female,66,No,Unknown
2016-09-05,2016,9,5,Unprovoked,Usa,Boogie Boarding,Female,12,No,Unknown
2016-07-26,2016,7,26,Unprovoked,Australia,Surfing,Male,18,No,Unknown
2016-07-07,2016,7,7,Boating,Usa,Fishing For Sharks,Male,27,No,White Shark
2016-09-05,2016,9,5,Unprovoked,Australia,Surfing,Male,27,No,Unknown
2016-07-07,2016,7,7,Provoked,Usa,Fishing,Male,59,No,Others
2016-07-08,2016,7,8,Boating,Usa,Others,Male,27,No,White Shark
2016-07-08,2016,7,8,Unprovoked,Spain,Wading,Female,10,No,Others
2016-07-14,2016,7,14,Unprovoked,Bahamas,Scuba Diving,Male,27,No,Others
2016-07-15,2016,7,15,Unprovoked,Usa,Swimming,Male,27,No,Unknown
2016-07-15,2016,7,15,Unprovoked,Usa,Kite Surfing,Male,61,No,White Shark
2016-07-16,2016,7,16,Unprovoked,Usa,Surfing,Female,9,No,Unknown
2016-07-17,2016,7,17,Boating,Usa,Others,Unknown,27,No,Tiger Shark
2016-07-20,2016,7,20,Provoked,Australia,Fishing,Male,31,No,Others
2016-07-23,2016,7,23,Unprovoked,Bahamas,Spearfishing,Male,27,No,Bull Shark
2016-07-23,2016,7,23,Unprovoked,Australia,Surfing,Male,36,No,Unknown
2016-07-24,2016,7,24,Unprovoked,Japan,Surfing,Male,29,No,Unknown
2016-07-16,2016,7,16,Unprovoked,Usa,Others,Female,11,No,Unknown
2016-08-27,2016,8,27,Unprovoked,Reunion,Surfing,Male,20,No,Bull Shark
2016-08-25,2016,8,25,Unprovoked,Usa,Wading,Male,49,No,Unknown
2016-07-27,2016,7,27,Provoked,Usa,Others,Male,43,No,Nurse Shark
2016-09-01,2016,9,1,Invalid,Mexico,Others,Unknown,27,Unknown,Invalid
2016-08-29,2016,8,29,Unprovoked,Usa,Surfing,Male,25,No,Bull Shark
2016-08-29,2016,8,29,Unprovoked,Usa,Surfing,Male,37,No,Unknown
2016-09-04,2016,9,4,Unprovoked,Usa,Body Boarding,Male,9,No,Unknown
2016-08-07,2016,8,7,Unprovoked,Bahamas,Snorkeling,Male,15,No,Unknown
2016-08-06,2016,8,6,Unprovoked,Usa,Others,Male,21,No,Tiger Shark
2016-08-04,2016,8,4,Unprovoked,Usa,Surfing,Male,22,No,Blacktip
2016-07-29,2016,7,29,Unprovoked,Spain,Swimming,Male,40,No,Blue
2016-07-28,2016,7,28,Unprovoked,Others,Swimming,Male,72,No,Unknown
2016-07-28,2016,7,28,Boating,Australia,Kayaking,Male,27,No,White Shark
2016-09-01,2016,9,1,Unprovoked,Usa,Spearfishing,Male,22,No,White Shark
2015-06-14,2015,6,14,Unprovoked,Usa,Wading,Female,12,No,Bull Shark
2015-06-13,2015,6,13,Unprovoked,Usa,Others,Female,27,No,Mako Shark
2015-06-11,2015,6,11,Unprovoked,Usa,Boogie Boarding,Female,13,No,Others
2015-05-09,2015,5,9,Unprovoked,New Caledonia,Snorkeling,Male,50,Yes,Bull Shark
2015-06-05,2015,6,5,Unprovoked,Usa,Others,Female,17,No,Nurse Shark
2015-06-14,2015,6,14,Unprovoked,Usa,Wading,Male,16,No,Bull Shark
2015-06-17,2015,6,17,Unprovoked,Usa,Swimming,Male,10,No,Unknown
2015-06-07,2015,6,7,Unprovoked,Usa,Playing,Male,11,No,Bull Shark
2015-05-20,2015,5,20,Unprovoked,Usa,Surfing,Male,18,No,Others
2015-06-01,2015,6,1,Unprovoked,Reunion,Surfing,Male,47,No,Bull Shark
2015-05-29,2015,5,29,Unprovoked,Usa,Standing,Female,14,No,Unknown
2015-05-29,2015,5,29,Unprovoked,Usa,Wading,Female,19,No,Unknown
2015-05-25,2015,5,25,Unprovoked,French Polynesia,Spearfishing,Male,19,No,Others
2015-05-24,2015,5,24,Unprovoked,Usa,Swimming,Female,13,No,Unknown
2015-05-15,2015,5,15,Unprovoked,Usa,Others,Male,30,No,Others
2015-06-23,2015,6,23,Unprovoked,Usa,Standing,Male,9,No,Small Shark
2015-06-19,2015,6,19,Unprovoked,Others,Spearfishing,Male,36,No,Unknown
2015-07-03,2015,7,3,Unprovoked,Australia,Surfing,Male,52,No,White Shark
2015-06-24,2015,6,24,Invalid,Australia,Surfing,Female,37,No,White Shark
2015-06-30,2015,6,30,Unprovoked,Usa,Others,Male,12,No,Others
2015-05-03,2015,5,3,Unprovoked,Australia,Surfing,Male,27,No,White Shark
2015-07-04,2015,7,4,Unprovoked,Bahamas,Spearfishing,Female,23,No,Others
2015-07-04,2015,7,4,Unprovoked,Usa,Others,Male,32,No,Unknown
